"name,age,street,city,state,zip,lng,lat"
"Jason Conley,78,8187 Isabel Estates,Petersmouth,Virginia,29921,132.335903,-14.100898"
"Kelly Gonzalez,25,057 Larry Well,Martinhaven,Wisconsin,09263,-151.657897,37.2335055"
"Grace Gaines,79,262 Martinez Mill,Lake James,Florida,07204,-170.728357,9.9918315"
"Katherine Green,22,782 Carey Vista Suite 565,New Meredith,North Carolina,46751,65.084582,-88.2780955"
"Ann Miller,18,6032 Jennifer Knoll Suite 122,Alanport,Kansas,28149,-121.490400,-78.827509"
"Jeff Anderson MD,37,17949 Larson Lakes Apt. 395,Higginsmouth,Pennsylvania,32340,-37.851517,11.9133665"
"Patrick Campos,20,361 King Row Apt. 334,Campbellberg,North Dakota,49575,29.748422,11.246839"
"Samantha Jackson,62,9820 John River Apt. 670,Ericabury,New Mexico,04177,-152.807320,-89.5141345"
"Bernard Hall,51,17532 Nicole Crossing Suite 381,Diazport,Maine,89767,-116.193333,81.426866"
"Lisa Garcia,53,884 Kelly Burgs,North Melissaborough,South Carolina,81035,114.842965,48.060331"
"Elizabeth Cobb,61,733 Robertson Corner Apt. 220,Barkerview,Nevada,31136,-128.361434,42.125726"
"Felicia Ross,46,8996 Sherry Streets,New Kevin,Vermont,50153,-70.076331,-51.336025"
"Mitchell Crawford,30,6205 Mary Meadow Apt. 494,Johnstonberg,Washington,68827,-34.566140,-72.2811795"
